scenario,tot_stock_C,tot_stock_E,tot_stock_N,tot_stock_P,tot_stock_S
CH1SP1SE0WE0BP1RE0CO1DI0WO1CS0,169384236,5129270,19314487,30845597,750994
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS1,175196349,3085003,19654198,25679367,1809667
CH0SP0SE1WE1BP1RE0CO0DI1WO1CS0,171094440,4146277,20864153,28338913,980801
CH0SP0SE1WE1BP1RE0CO1DI0WO0CS0,174028460,2135410,23713654,24673874,873186
CH0SP1SE1WE0BP0RE1CO1DI0WO0CS1,166006021,2504028,16229619,38038671,2646245
CH1SP0SE1WE0BP0RE1CO1DI1WO0CS0,162363737,7831870,18051040,35748623,1429314
CH1SP1SE0WE0BP1RE1CO1DI1WO0CS0,158997562,4760563,17048483,43259896,1358080
CH0SP1SE1WE1BP1RE0CO0DI0WO0CS1,173058524,1189279,19658163,30247547,1271071
CH1SP0SE1WE0BP1RE1CO0DI0WO1CS1,168757406,7963513,22042428,24667960,1993277
CH1SP1SE0WE0BP0RE0CO0DI0WO0CS0,172603716,1932899,16377272,33656487,854210
CH1SP1SE0WE0BP0RE1CO1DI0WO0CS0,165962820,4677047,16050130,38030527,704060
CH1SP0SE1WE0BP0RE0CO0DI1WO1CS0,169149747,7886935,17785285,29591408,1011209
CH0SP1SE1WE0BP1RE1CO0DI0WO0CS0,169029680,2070571,19403096,33650350,1270887
CH1SP0SE0WE0BP1RE1CO1DI0WO0CS1,168303291,4984813,23399381,26433348,2303751
CH1SP0SE0WE0BP1RE0CO0DI1WO0CS1,170263258,3318168,21448467,28775291,1619400
CH0SP1SE1WE1BP0RE0CO1DI0WO0CS0,171499998,1679633,16478824,34800754,965375
CH0SP0SE0WE0BP1RE1CO0DI1WO0CS0,165960874,2656897,21310616,34242521,1253676
CH1SP1SE0WE1BP0RE1CO1DI1WO0CS0,160167486,4183853,14920345,45215950,936950
CH0SP1SE1WE1BP0RE1CO1DI1WO0CS0,160583736,2434074,14870289,46145913,1390572
CH1SP0SE0WE1BP0RE1CO0DI1WO1CS0,164798981,8586736,17949710,32626958,1462199
CH0SP0SE0WE0BP1RE1CO0DI1WO1CS0,165252580,4502773,20683086,33306846,1679299
CH1SP0SE0WE1BP0RE1CO0DI0WO1CS0,170266438,7118397,19310936,27411407,1317406
CH0SP1SE0WE1BP0RE0CO0DI0WO0CS0,173339390,1113844,16693027,33282852,995471
CH0SP1SE1WE0BP1RE1CO0DI1WO0CS0,162120850,2407527,17001781,42629856,1264570
CH0SP0SE1WE1BP1RE0CO0DI1WO0CS0,171667310,2247995,21487958,28948761,1072560
CH0SP1SE0WE1BP0RE1CO1DI0WO1CS0,167152384,3373672,16080457,37660816,1157255
CH0SP1SE1WE1BP0RE0CO0DI0WO0CS1,173069612,1325188,16574562,33121849,1333373
CH1SP1SE0WE1BP0RE0CO0DI0WO0CS1,172767824,1729685,16461186,33106324,1359565
CH0SP1SE0WE1BP0RE1CO1DI0WO0CS0,167511234,1922815,16248132,38642041,1100362
CH1SP0SE0WE0BP1RE0CO0DI1WO1CS0,169244687,6320114,20857504,28170554,831725
CH0SP1SE1WE0BP1RE1CO0DI0WO1CS0,168516974,3450613,19281283,33131020,1044694
CH1SP0SE1WE1BP1RE0CO1DI0WO1CS0,171798289,6728156,22366379,23665507,866253
CH0SP1SE0WE0BP0RE0CO0DI0WO0CS0,173037234,1159425,16538437,33846462,843026
CH0SP0SE1WE0BP0RE0CO0DI0WO1CS0,175257247,3724697,19497056,25736541,1209043
CH1SP1SE0WE1BP1RE0CO0DI0WO0CS0,172973293,1528694,19904783,30312276,705538
CH0SP0SE0WE0BP1RE1CO1DI0WO1CS0,169265149,4749265,23573012,26832407,1004751
CH1SP0SE1WE0BP1RE1CO1DI0WO0CS0,168505824,6524058,23032652,26556296,805754
CH0SP0SE0WE0BP0RE0CO0DI1WO0CS1,170862628,2114899,19191120,31638679,1617258
CH1SP0SE1WE1BP0RE1CO1DI0WO1CS0,167721868,10183802,18547972,27878880,1092062
CH0SP0SE1WE1BP0RE0CO0DI0WO1CS1,175069949,3661134,19517264,25562700,1613537
CH0SP1SE1WE0BP0RE0CO0DI0WO0CS0,172954195,1560586,16616646,33513124,780033
CH1SP1SE0WE0BP1RE0CO0DI0WO1CS1,171724696,3554263,19306753,29690775,1148097
CH1SP0SE1WE0BP0RE0CO0DI1WO0CS1,170088422,4527402,18603637,30485447,1719676
CH1SP1SE0WE0BP1RE1CO1DI0WO0CS0,165828879,4531899,19361931,34633878,1067997
CH1SP0SE1WE0BP1RE1CO0DI1WO0CS0,164910234,6396419,20703445,32236558,1177928
CH1SP0SE1WE1BP1RE0CO0DI0WO0CS0,175037132,2669530,23242498,23743252,732172
CH1SP0SE1WE1BP0RE0CO0DI0WO1CS1,173902030,5965913,19088254,25068739,1399648
CH0SP1SE1WE0BP1RE1CO1DI1WO0CS0,159634895,2628551,17127686,45003791,1029661
CH0SP1SE0WE1BP1RE0CO0DI0WO0CS1,173159394,897426,19834150,30380382,1153232
CH1SP0SE1WE1BP0RE1CO0DI1WO1CS0,164616055,9561685,17464307,32444848,1337689
CH0SP1SE0WE1BP0RE1CO0DI1WO0CS0,163040602,1834075,15019378,44282998,1247531
CH0SP0SE1WE1BP0RE0CO0DI1WO1CS0,170973598,4569412,18366934,30320540,1194100
CH0SP1SE1WE0BP0RE0CO1DI1WO0CS0,165257555,1976295,15162116,42000277,1028341
CH0SP0SE0WE0BP0RE1CO1DI0WO1CS0,169241629,5228874,19599989,29505408,1848684
CH0SP1SE1WE0BP1RE0CO1DI0WO0CS1,170777808,1586191,19593749,31809889,1656947
CH0SP1SE1WE0BP0RE1CO0DI1WO1CS0,161767624,4041811,14687890,43543719,1383540
CH0SP1SE0WE1BP0RE0CO0DI1WO0CS1,167961770,1170465,15417211,39319764,1555374
CH0SP0SE0WE1BP0RE1CO0DI1WO0CS1,166405593,2590602,18808421,35625232,1994736
CH0SP0SE1WE0BP1RE0CO0DI0WO1CS0,174878552,3240775,22881408,23503565,920284
CH1SP1SE0WE1BP1RE0CO0DI1WO0CS1,167754719,2114647,17446253,36782915,1326050
CH1SP0SE0WE0BP0RE0CO0DI0WO1CS1,173549538,5200362,19426886,25302023,1945775
CH1SP1SE0WE0BP0RE1CO0DI1WO1CS0,160694403,7282137,14787011,41400928,1260105
CH1SP1SE0WE1BP0RE1CO0DI0WO0CS0,168914426,3098857,16223679,36106687,1080935
CH0SP0SE0WE0BP0RE1CO0DI1WO0CS0,165606320,2862732,18850112,36561185,1544235
CH1SP0SE0WE0BP1RE1CO1DI0WO0CS0,168758045,5412471,23543603,26613975,1096490
CH0SP1SE0WE0BP1RE1CO1DI0WO0CS1,166202319,1986722,19540228,35084727,2610588
CH1SP0SE0WE1BP0RE1CO1DI1WO0CS0,163414227,5992897,18681886,35951265,1384309
CH1SP0SE0WE0BP1RE0CO1DI0WO0CS0,173079100,3239350,23752197,24625489,728448
CH0SP0SE1WE0BP0RE1CO0DI0WO1CS0,171246071,4995225,19103732,28690804,1388752
CH1SP0SE0WE0BP1RE1CO0DI1WO1CS0,163743929,9252445,20170912,31051242,1206056
CH0SP0SE1WE0BP1RE0CO1DI0WO0CS1,173176904,2252867,23264483,24812557,1917773
CH0SP1SE1WE1BP1RE0CO0DI1WO0CS1,168161783,1500004,17550007,37069595,1143195
