,stock_C,stock_E,stock_N,stock_P,stock_S,total_emissions
CH0SP0SE0WE1BP1RE0CO0DI1WO0CS0,106636237.0,1781165.0,14393061.0,15507304.0,1230785.0,1231496829481.057
CH0SP0SE0WE1BP1RE0CO0DI1WO0CS1,106582526.0,1720298.0,14283281.0,15408507.0,1553940.0,1232992638841.3406
CH0SP0SE0WE1BP1RE0CO0DI1WO1CS0,106311120.0,3187684.0,14069565.0,15070095.0,910088.0,1229340864919.5952
CH0SP0SE0WE1BP1RE0CO1DI0WO0CS0,108934693.0,1462042.0,16674686.0,11765617.0,711514.0,1249288829383.6436
CH0SP0SE0WE1BP1RE0CO1DI0WO0CS1,108533080.0,1514603.0,16392758.0,11709556.0,1398555.0,1250939872774.9124
CH0SP0SE0WE1BP1RE0CO1DI0WO1CS0,108117725.0,3242062.0,15960820.0,11273056.0,954889.0,1247656565085.2292
CH0SP0SE0WE1BP1RE0CO1DI1WO0CS0,104849268.0,2175179.0,14756074.0,16935367.0,832664.0,1231159419739.938
CH0SP0SE1WE0BP0RE0CO0DI0WO0CS0,110320356.0,2124610.0,12765945.0,13462735.0,874906.0,1408641303800.049
CH0SP0SE1WE0BP0RE0CO0DI0WO0CS1,109715963.0,2140057.0,12698770.0,12987189.0,2006573.0,1411430624326.417
CH0SP0SE1WE0BP0RE0CO0DI0WO1CS0,109868298.0,3693098.0,12059027.0,12766187.0,1161942.0,1410456679610.189
CH0SP0SE1WE0BP0RE0CO0DI0WO1CS1,109363751.0,3631181.0,12053284.0,12616494.0,1883842.0,1411445312799.58
CH0SP0SE1WE0BP0RE0CO0DI1WO0CS0,106262497.0,2590390.0,11513656.0,18120370.0,1061639.0,1385765317272.8228
CH0SP0SE1WE0BP0RE0CO0DI1WO0CS1,105854957.0,2561726.0,11503765.0,17886529.0,1741575.0,1386977253418.9617
CH0SP0SE1WE0BP0RE0CO0DI1WO1CS0,105789024.0,4538224.0,10917814.0,17185457.0,1118033.0,1385532009698.274
CH0SP0SE1WE0BP0RE0CO1DI0WO0CS0,108510212.0,2728389.0,12756585.0,14565642.0,987724.0,1391836954506.9253
CH0SP0SE1WE0BP0RE0CO1DI0WO0CS1,107826360.0,2590317.0,12725389.0,14129818.0,2276668.0,1394602928522.8467
CH0SP0SE1WE0BP0RE0CO1DI0WO1CS0,107943531.0,4922296.0,11877292.0,13694984.0,1110449.0,1392607426196.559
CH0SP0SE1WE0BP0RE0CO1DI1WO0CS0,104033329.0,3291953.0,11573690.0,19431221.0,1218359.0,1365371326863.3303
CH0SP0SE1WE0BP0RE1CO0DI0WO0CS0,106408120.0,2958472.0,12432797.0,16014347.0,1734816.0,1385080303585.2512
CH0SP0SE1WE0BP0RE1CO0DI0WO0CS1,105567170.0,2951707.0,12342721.0,15690341.0,2996613.0,1386890321254.9375
CH0SP0SE1WE0BP0RE1CO0DI0WO1CS0,105831010.0,4963672.0,11667632.0,15748738.0,1337500.0,1382126484150.7017
CH0SP0SE1WE0BP0RE1CO0DI0WO1CS1,105037000.0,4746668.0,11669885.0,15160211.0,2934788.0,1385621749148.559
CH0SP0SE1WE0BP0RE1CO0DI1WO0CS0,100749005.0,3426442.0,11134225.0,22727961.0,1510919.0,1346849046999.8042
CH0SP0SE1WE0BP0RE1CO0DI1WO0CS1,100316434.0,3517645.0,11135395.0,21865292.0,2713786.0,1350968540634.2144
CH0SP0SE1WE0BP0RE1CO0DI1WO1CS0,100338801.0,5518439.0,10532302.0,21625697.0,1533313.0,1347112300557.0718
CH0SP0SE1WE0BP0RE1CO1DI0WO0CS0,104452980.0,3678003.0,12363305.0,17394676.0,1659588.0,1367407469949.822
CH0SP0SE1WE0BP0RE1CO1DI0WO0CS1,103563349.0,3457763.0,12363588.0,16711260.0,3452592.0,1371656110642.6875
CH0SP0SE1WE0BP0RE1CO1DI0WO1CS0,103714135.0,5862624.0,11631825.0,16879158.0,1460810.0,1363919979512.9358
CH0SP0SE1WE0BP0RE1CO1DI1WO0CS0,98313801.0,3938698.0,11139148.0,24514993.0,1641912.0,1326123787723.5312
CH0SP0SE1WE0BP1RE0CO0DI0WO0CS0,110096815.0,1736114.0,16388090.0,10798586.0,528947.0,1389383451179.683
CH0SP0SE1WE0BP1RE0CO0DI0WO0CS1,109668114.0,1840650.0,16091996.0,10786826.0,1160966.0,1391718700020.5264
CH0SP0SE1WE0BP1RE0CO0DI0WO1CS0,109504803.0,3208960.0,15438842.0,10525294.0,870653.0,1391828577326.6738
CH0SP0SE1WE0BP1RE0CO0DI0WO1CS1,109075941.0,3263479.0,15085856.0,10419926.0,1703350.0,1394542196597.7534
